Coin Name,Price,24h Change,Market Cap
"CoinMarketCap 20 Index DTF
CMC20
Buy",$125.48,0.07%,"$12,793,159"
"Bitcoin
BTC
Buy","$62,128.38",0.48%,"$1,245,000,746,233"
"Ethereum
ETH
Buy","$1,639.39",0.75%,"$197,849,165,191"
"Tether
USDT
Buy",$0.9990,0.00%,"$186,767,703,362"
"BNB
BNB
Buy",$591.60,0.28%,"$79,738,299,942"
"USDC
USDC
Buy",$0.9996,0.01%,"$75,011,286,170"
"XRP
XRP
Buy",$1.11,0.68%,"$69,028,670,053"
"Solana
SOL
Buy",$64.50,0.61%,"$37,382,862,539"
"TRON
TRX
Buy",$0.3227,0.04%,"$30,600,234,299"
"Hyperliquid
HYPE
Buy",$55.77,2.62%,"$14,146,494,007"
